Symbol,Description
CPSW.SI,Dlc Socgen7xshorthsi 210114
CPTW.SI,Dlc Socgen7xlonghsc 210114
CPUW.SI,Dlc Socgen7xshorthsc 210114
CPVW.SI,Dlc Socgen7xlongmsg 210114
CPWW.SI,Dlc Socgen7xshortmsg 210114
CRPU.SI,Sasseur Reit
CSFU.SI,Cromwell European Reit S$
CTN.SI,Breadtalk Group Limited
CTO.SI,Hong Lai Huat Group Limited
CYW.SI,Tricklestar
D2U.SI,Cacola Furniture Intl Limited
D50.SI,China Great Land Holdings Ltd.
DAAW.SI,Dlc Socgen5xshort Aia
DABW.SI,Dlc Socgen5xshort Venture A
DAEW.SI,Dlc Sg5xshortsunny A
DALW.SI,Dlc Sg5xlong Aac
DANW.SI,Dlc Socgen5xlong Tencent
DASW.SI,Dlc Sg5xshort Aac
DAUW.SI,Dlc Sg5xshort Sunac
DAWW.SI,Dlc Sg5xlong Sunac
DAZW.SI,Dlc Sg5xshortkepcorp A
DBCW.SI,Dlc Sg5xshortgeely A
DBZW.SI,Dlc Socgen5xshort Uob
DCLW.SI,Dlc Sg5xlong Citydev
DCPW.SI,Dlc Socgen5xshort Pingan
DCSW.SI,Dlc Sg5xshort Citydev
DDBW.SI,Dlc Sg5xshortwilmar A
DDIW.SI,Dlc Socgen5xshort Singtel
DDJW.SI,Dlc Socgen5xshort Tencent A
DDWW.SI,Dlc Socgen5xlong Uob
DEKW.SI,Dlc Socgen5xlong Kepcorp
DEZW.SI,Dlc Sg5xshortuob A
DFFW.SI,Dlc Socgen5xshort Dbs
DFHW.SI,Dlc Socgen5xlong Wilmar
DFJW.SI,Dlc Sg5xshortocbc A
DGAW.SI,Dlc Sg5xlonggeely A
DGBW.SI,Dlc Sg5xshort Areit
DGOW.SI,Dlc Socgen5xshort Venture
DGRW.SI,Dlc Sg5xlong Sgx
DGSW.SI,Dlc Sg5xshort Sgx
DHDW.SI,Dlc Sg5xlong Clife
DHYW.SI,Dlc Socgen5xlong Pingan
DJAW.SI,Dlc Sg5xlong Cmob
DJWW.SI,Dlc Socgen5xshort Ocbc
DKFW.SI,Dlc Socgen5xshort Capland
DKUW.SI,Dlc Socgen5xshort Cnooc
DLAW.SI,Dlc Socgen5xlong Venture
DLQW.SI,Dlc Socgen5xlong Capland
DMPW.SI,Dlc Socgen5xshort Genting
DMQW.SI,Dlc Socgen5xlong Singtel
DMUW.SI,Dlc Sg5xlongocbc A
DNBW.SI,Dlc Socgen5xlong Cnooc
DNEW.SI,Dlc Socgen5xlong Genting
DNXW.SI,Dlc Socgen5xshort Wilmar
DNZW.SI,Dlc Sg5xshort Clife
DOXW.SI,Dlc Socgen5xlong Dbs
DPEW.SI,Dlc Sg5xshort Shkp
DPIW.SI,Dlc Socgen5xshort Kepcorp
DPWW.SI,Dlc Socgen5xlong Aia
DQBW.SI,Dlc Sg5xshort Cmob
DQDW.SI,Dlc Socgen5xshort Geely
DQTW.SI,Dlc Socgen5xshort Tencent
DRGW.SI,Dlc Sg5xlong Shkp
DRWW.SI,Dlc Socgen5xlong Geely
DRX.SI,St Group Food
DSAW.SI,Dlc Sg5xlong Sands
DSBW.SI,Dlc Socgen5xlong Tencent A
DSCW.SI,Dlc Socgen5xshort Galaxy
DSIW.SI,Dlc Sg5xlong Sia
DSLW.SI,Dlc Sg5xshort Sia
DSNW.SI,Dlc Sg5xlong Sunny
DSSW.SI,Dlc Sg5xshort Sands
DSVW.SI,Dlc Sg5xshort Sunny
DSYW.SI,Dlc Socgen5xlong Petchina
DTAW.SI,Dlc Socgen5xshort Petchina
DTFW.SI,Dlc Sg5xshortdbs A
DTNW.SI,Dlc Socgen5xlong Galaxy
DUFW.SI,Dlc Sg5xlong Cspc
DUZW.SI,Dlc Socgen5xlong Ocbc
DVOW.SI,Dlc Socgen5xlong Hkex
DVVW.SI,Dlc Socgen5xshort Hkex
DWAW.SI,Dlc Sg5xshort Cspc
DWBW.SI,Dlc Socgen5xshort Ccb
DXAW.SI,Dlc Sg5xlong Areit
DXMW.SI,Dlc Socgen5xlong Ccb
DXUW.SI,Dlc Socgen5xshort Yzj
DYAW.SI,Dlc Socgen5xshort Hsbc
DYDW.SI,Dlc Sg5xshortaac A
DZAW.SI,Dlc Sg5xlongpetchina A
DZLW.SI,Dlc Socgen5xlong Hsbc
E90.SI,China Sky Chem Fibre Co. Ltd.
EG0.SI,Jes International Holdings Ltd
F03.SI,Food Empire Holdings Limited
F10.SI,F J Benjamin Holdings Ltd
F13.SI,Fu Yu Corporation Ltd
F17.SI,Guocoland Limited
F1E.SI,Low Keng Huat (singapore) Ltd
F31.SI,Fragrance Group Limited
F34.SI,Wilmar International Limited
F3V.SI,Sino Construction Limited
F83.SI,Cosco Corporation (s) Ltd
F86.SI,Cougar Logistics Corpn Ltd
F99.SI,Fraser And Neave Limited
F9D.SI,Boustead Singapore Limited
FQ7.SI,Jasper Investments Limited
FQ8.SI,China Sports Intl Limited
G07.SI,Great Eastern Hldgs Ltd
G0I.SI,Nam Lee Pressed Metal Inds Ltd
G11.SI,Global Tech (hldgs) Limited
G13.SI,Genting Singapore Plc
G1N.SI,Lyxor Etf Msci India 10
G20.SI,Gp Industries Limited
G3B.SI,Dbs Singapore Sti Etf
G41.SI,G. K. Goh Holdings Limited
G50.SI,Grand Banks Yachts Limited
G54.SI,China Essence Group Ltd.
G92.SI,China Aviation Oil(s) Corp Ltd
GDEW.SI,Dlc Socgen7xlongmsg 220225
GRQ.SI,Don Agro
GU5.SI,China Kunda Tech Holdings Ltd
H02.SI,Haw Par Corp Ltd
H07.SI,Stamford Land Corporation Ltd
H12.SI,Hotel Royal Ltd
H13.SI,Ho Bee Investment Limited
H15.SI,Hotel Properties Ltd
H16.SI,Huan Hsin Holdings Ltd
H17.SI,Hi-p International Limited
H18.SI,Hotel Grand Central Ltd
H19.SI,Hwa Hong Corporation Limited
H1N.SI,Lyxor Etf Msci Emerging Mkt 10
H20.SI,Hoe Leong Corporation Ltd.
H22.SI,Hong Leong Asia Ltd.
H78.SI,Hongkong Land Holdings Limited
HD6.SI,Dbxt S&p 500 Short Etf 10
HD7.SI,Dbxt Msci Taiwan Etf 10
HD8.SI,Dbxt Ft China 25 Etf 10
HD9.SI,Dbxt Ftse Vietnam Etf 10
HE0.SI,Dbxt S&p Cnx Nifty Etf 10
HMN.SI,Ascott Trust
i06.SI,Intraco Limited
i07.SI,Isdn Holdings Limited
i11.SI,Ipco Int'l Limited
i15.SI,Isetan (singapore) Ltd
i26.SI,Inno-pacific Holdings Ltd
i49.SI,Ifs Capital Limited
I5H.SI,Great Group Holdings Limited
I98.SI,Is Msci India 100
I9T.SI,Ziwo Holdings Ltd.
IH0.SI,Dbxt Euro Stoxx 50 Etf 10
IH1.SI,Dbxt Msci Asia Ex Japan Etf 10
IH2.SI,Dbxt Msci Korea Etf 10
IH3.SI,Dbxt Msci Europe Etf 10
IW5.SI,Seroja Investments Limited
IX2.SI,Pec Ltd.
J03.SI,Jadason Enterprises Ltd
J0O.SI,Dbxt Msci Brazil Trn Etf 10
J0P.SI,Dbxt Msci World Trn Etf 10
J0Q.SI,Dbxt Msci Pacific Exjap Etf 10
J0R.SI,Dbxt Msci Russia Cap 25 Etf 10
JLB.SI,Grand Venture Technology Ltd
JRCB.SI,Firstsponsor3.98%s2pccs#
JYEU.SI,Lendlease Reit
JYIW.SI,Dlc Socgen7xlonghsi 210723
K3CD.SI,China Eastern Air Adr 10
K3ED.SI,China Telecom Adr 10
K3HD.SI,Aluminum Corp Of China Adr 10
K3JD.SI,Changyou.com Adr 10
K3MD.SI,Netease.com Adr 10
K3PD.SI,Chinamobile Adr 10
K3RD.SI,Ctrip.com International Adr 10
K3SD.SI,Baidu.com Adr 10
K3TD.SI,China Southern Air Adr 10
KDVW.SI,Dlc Socgen7xlonghsi 220225
KI3.SI,Hu An Cable Holdings Ltd.
KUH.SI,Tsh Corporation Ltd
KUO.SI,International Cement Groupltd.
KUX.SI,Dlf Holdings Limited
L02.SI,Manhattan Resources Limited
L03.SI,Lian Beng Group Ltd
L09.SI,Lung Kee (bermuda) Hldgs Ltd
L19.SI,Lum Chang Holdings Limited
L23.SI,Enviro-hub Holdings Ltd
L38.SI,L.c.development Ltd
L46.SI,Luzhou Bio-chem Technology Ltd
L5I.SI,Abterra Ltd
LF1.SI,Dbxt S&p/asx 200 Etf 10
LF2.SI,Dbxt Msci Japan Trn Etf 10
LG6.SI,Dbxt Msci Malaysia Trn Etf 10
LG7.SI,Dbxt Msci Thailand Trn Etf 10
LG8.SI,Dbxt Msci India Trn Etf 10
LG9.SI,Dbxt Msci China Trn Etf 10
LIW.SI,Eagle Hospitality Trust
LJ3.SI,Overseas Union Enterprise Ltd
LS9.SI,Leader Environmental Tech Ltd
LSHS.SI,N519100a 240201
LUY.SI,Raffles Infrastructurehldgsltd
M01.SI,Metro Holdings Limited
M03.SI,Miyoshi Precision Limited
M04.SI,Mandarin Oriental Intl Ltd
M05.SI,Mtq Corporation Limited
M11.SI,Mfg Integration Technology Ltd
M14.SI,Innotek Limited
M15.SI,Matex International Limited
M1GU.SI,Sabana Shari'ah Compliant Reit
M1Z.SI,Tee International Limited
M30.SI,Meghmani Organics Limited
M44U.SI,Mapletree Logistics Trust
M62.SI,Cimb Ftse Asean40 100
MBH.SI,Nikkoam Sgd Ig Corp Bond Etf
ME8U.SI,Mapletree Industrial Trust
MF6.SI,Mun Siong Engineering Limited
MIJ.SI,Alliance Healthcare Group Ltd
MR7.SI,Nordic Group Limited
MR8.SI,Novo Group Ltd.
MT1.SI,Dragon Group Intl Limited
MU7.SI,Dbs S$800m 4.7% Ncps
MV4.SI,Mewah International Inc.
MXNU.SI,Elitecomreit Gbp
N01.SI,Neratelecommunications Ltd
N02.SI,Nsl Ltd.
N08.SI,New Toyo Int Hldgs Ltd
N0Z.SI,Combine Will Intl Hldgs Ltd
N14.SI,M Development Ltd.
N2E.SI,Dbxt Msci Philippines Etf 10
N2H.SI,Hyflux 6% Cum Pref Class A 10
N2IU.SI,Mapletree Commercial Trust
N32.SI,Nippecraft Limited
N33.SI,Nomura Holdings Inc
N4E.SI,Nam Cheong Limited
N5YD.SI,Mufj Financial Adr 10
N6DD.SI,Mizuho Financial Adr 10
N6FD.SI,Toyota Motor Adr 10
N6M.SI,Ishares Usd Asia Bond Etf
NC2.SI,Sri Trang Agro-industry Pcl
ND8U.SI,Frasers Commercial Trust
NEX.SI,Reclaims Global Limited
NHD.SI,Jubilee
NO4.SI,Dyna-mac Holdings Ltd.
NPW.SI,Malaysia Smelting Corp Bhd
NR7.SI,Raffles Education Corp Ltd
NS8U.SI,Hutchison Port Holdings Trust
O08.SI,Ossia International Ltd
O10.SI,Orchard Parade Holdings Ltd
O2I.SI,Avic Intl Investments Limited
O32.SI,Olam International Limited
O39.SI,Oversea-chinese Banking Corp
O5RU.SI,Aims Amp Cap Industrial Reit
O6Z.SI,Lonza Group Ltd
O87.SI,Spdr Gold Shares
O9A.SI,Dbxt Msci Singapore Im Etf 10
O9C.SI,Dbxt Msci Bangladesh Im Etf 10
O9D.SI,Dbxt Msci Pakistan Im Etf 10
O9E.SI,Parkson Retail Asia Limited
O9P.SI,Ishares Usd Asia Hy Bond Etf
OAJ.SI,Fortress Minerals Limited
OL9S.SI,Nz10100f 300901
OM0S.SI,Nx11100x 210601
OMK.SI,Vividthree Holdings Ltd.
OTX.SI,Medinex Limited
OU8.SI,Centurion Corporation Limited
OV8.SI,Sheng Siong Group Ltd
OVQ.SI,Phillip Sing Income Etf
OXMU.SI,Prime Us Reitusd
OYY.SI,Propnex Limited
P11.SI,Pacific Andes Resources Devltd
P15.SI,Pacific Century Regional Devts
P34.SI,Petra Foods Limited
P36.SI,Pan Hong Property Group Ltd
P40U.SI,Starhill Global Reit
P52.SI,Pan-united Corporation Ltd
P58.SI,Lyxor China H 10
P5P.SI,Cimb S&p Asia Pacific Dividend
P60.SI,Lyxor Asia 10
P74.SI,China Kangda Food Company Ltd
P7VU.SI,Hutchison Port Hldgs Trust S$
P8A.SI,Cordlife Group Limited
P8Z.SI,Bumitama Agri Ltd.
P9D.SI,Civmec Limited
PA3.SI,Ta Corporation Ltd
PH0.SI,Hatten Land
PH1S.SI,Na12100n 420202
PU6D.SI,Hsbc Adr 10
QES.SI,Chinasunsine
QSD.SI,Resources Gbl
QZG.SI,Accrelist Ltd
R1MS.SI,Nx13100h 230701
R1NS.SI,Nz13100v 330901
RC5.SI,Triyards Holdings Limited
RCU.SI,Revez
RDR.SI,Incredible
RMRB.SI,Astrea Iv S$242m4.35%b280614
S07.SI,Shangri-la Asia Limited
S08.SI,Singapore Post Limited
S19.SI,Singapore Shipping Corp Ltd
S20.SI,Straits Trading Co. Ltd
S23.SI,Singapura Finance Ltd
S27.SI,Spdr S&p 500 Etf Trust
S29.SI,Stamford Tyres Corporationltd
S2D.SI,Tosei Corporation
S35.SI,Sing Investments & Finance Ltd
S3N.SI,Okh Global Ltd.
S41.SI,Hong Leong Finance Limited
S44.SI,Engro Corporation Limited
S45U.SI,Singapore Index Fund
S49.SI,Singapore Reinsurance Cor Ltd
S51.SI,Sembcorp Marine Ltd
S56.SI,Samudera Shipping Line Ltd
S58.SI,Sats Ltd.
S59.SI,Sia Engineering Co Ltd
S61.SI,Sbs Transit Ltd
S63.SI,Singapore Tech Engineering Ltd
S68.SI,Singapore Exchange Limited
S69.SI,Serial System Ltd
S71.SI,Sunright Ltd
S7OU.SI,Asian Pay Television Trust
S7P.SI,Soilbuild Construction Grp Ltd
S85.SI,Straco Corporation Limited
S91.SI,Chinavision Media Grp Limited
S9B.SI,Tee Land Limited
SJY.SI,Megroup Ltd.
SK3.SI,Krisenergy Ltd.
SK6U.SI,Sph Reit
SO7.SI,Yangzijiang Shipbldg Hldgs Rmb
SQ1B.SI,Sia S$750m 3.03% B 240328
STP.SI,Silkroad Nickel Ltd.
SV3U.SI,Soilbuild Business Space Reit
T09.SI,Tt International Limited
T12.SI,Tat Seng Packaging Group Ltd
T13.SI,Rh Petrogas Limited
T14.SI,Tianjin Zhong Xin Pharm Group
T15.SI,Tan Chong Int'l Ltd
T19.SI,Transview Holdings Limited
T24.SI,Tuan Sing Holdings Limited
T39.SI,Singapore Press Hldgs Ltd
T41.SI,Telechoice International Ltd
T43.SI,Techcomp (holdings) Limited
T4B.SI,Sino Grandness Food Ind Gp Ltd
T55.SI,Transpac Industrial Hldgs Ltd
T6I.SI,Valuemax Group Limited
T82U.SI,Suntec Real Estate Inv Trust
T8FS.SI,Ny14100e 290701
T8V.SI,Pacific Radiance Ltd.
TEKB.SI,Temasek S$500m 2.7% B 231025
TID.SI,Xt Mschina S$
TY6Z.SI,Capitamalltrs$350m3.08%b210220
U04.SI,United Engineers Ltd Ord
U05.SI,United Engineers 7.5% Cum Pref
U06.SI,United Industrial Corp Ltd
U09.SI,Upp Holdings Limited
U10.SI,Uob-kay Hian Holdings Limited
U11.SI,United Overseas Bank Ltd
U13.SI,United Overseas Insurance Ltd
U14.SI,Uol Group Limited
U6C.SI,Pacc Offshore Svcs Hldg Ltd.
U77.SI,Sarin Technologies Ltd
U96.SI,Sembcorp Industries Ltd
